year,month,day,day_of_week,PNL
2024,1,1,Monday,1500.0
2024,1,2,Tuesday,1500.0
2024,1,3,Wednesday,1500.0
2024,1,4,Thursday,1500.0
2024,1,5,Friday,1500.0
2024,1,8,Monday,1500.0
2024,1,9,Tuesday,1500.0
2024,1,10,Wednesday,1500.0
2024,1,11,Thursday,1500.0
2024,1,12,Friday,1500.0
2024,1,15,Monday,1500.0
2024,1,16,Tuesday,-3750.0
2024,1,17,Wednesday,1500.0
2024,1,18,Thursday,1500.0
2024,1,19,Friday,-2808.75
2024,1,23,Tuesday,1500.0
2024,1,24,Wednesday,1500.0
2024,1,25,Thursday,-3750.0
2024,1,29,Monday,1500.0
2024,1,30,Tuesday,1500.0
2024,1,31,Wednesday,1500.0
2024,2,1,Thursday,-2880.0
2024,2,2,Friday,1500.0
2024,2,5,Monday,1500.0
2024,2,6,Tuesday,1500.0
2024,2,7,Wednesday,1500.0
2024,2,8,Thursday,1500.0
2024,2,9,Friday,1500.0
2024,2,12,Monday,1500.0
2024,2,13,Tuesday,1500.0
2024,2,14,Wednesday,1500.0
2024,2,15,Thursday,-3750.0
2024,2,16,Friday,-1653.75
2024,2,19,Monday,1500.0
2024,2,20,Tuesday,1500.0
2024,2,21,Wednesday,-3750.0
2024,2,22,Thursday,1500.0
2024,2,23,Friday,-3626.25
2024,2,26,Monday,1500.0
2024,2,27,Tuesday,-2441.25
2024,2,28,Wednesday,1500.0
2024,2,29,Thursday,1500.0
2024,3,1,Friday,1500.0
2024,3,4,Monday,1500.0
2024,3,5,Tuesday,1500.0
2024,3,6,Wednesday,-3750.0
2024,3,7,Thursday,-3750.0
2024,3,11,Monday,1500.0
2024,3,12,Tuesday,1500.0
2024,3,13,Wednesday,1500.0
2024,3,14,Thursday,1500.0
2024,3,15,Friday,1500.0
2024,3,18,Monday,1500.0
2024,3,19,Tuesday,1500.0
2024,3,20,Wednesday,1500.0
2024,3,21,Thursday,-3750.0
2024,3,22,Friday,1500.0
2024,3,26,Tuesday,-3750.0
2024,3,27,Wednesday,1500.0
2024,3,28,Thursday,1500.0
2024,4,1,Monday,-3750.0
2024,4,2,Tuesday,1500.0
2024,4,3,Wednesday,1500.0
2024,4,4,Thursday,-1987.5
2024,4,5,Friday,-2943.75
2024,4,8,Monday,1500.0
2024,4,9,Tuesday,1500.0
2024,4,10,Wednesday,-3285.0
2024,4,12,Friday,1500.0
2024,4,15,Monday,-3750.0
2024,4,16,Tuesday,-3547.5
2024,4,18,Thursday,1500.0
2024,4,19,Friday,1500.0
2024,4,22,Monday,941.25
2024,4,23,Tuesday,-3750.0
2024,4,24,Wednesday,1500.0
2024,4,25,Thursday,1500.0
2024,4,26,Friday,1500.0
2024,4,29,Monday,1500.0
2024,4,30,Tuesday,1500.0
2024,5,2,Thursday,-3750.0
2024,5,3,Friday,1500.0
2024,5,6,Monday,1500.0
2024,5,7,Tuesday,-3750.0
2024,5,8,Wednesday,-3750.0
2024,5,9,Thursday,1500.0
2024,5,10,Friday,1500.0
2024,5,13,Monday,1500.0
2024,5,14,Tuesday,1500.0
2024,5,15,Wednesday,-3750.0
2024,5,16,Thursday,1500.0
2024,5,17,Friday,-3011.25
2024,5,21,Tuesday,-3750.0
2024,5,22,Wednesday,1500.0
2024,5,23,Thursday,-1132.5
2024,5,24,Friday,-3750.0
2024,5,27,Monday,1500.0
2024,5,28,Tuesday,-3240.0
2024,5,29,Wednesday,1500.0
2024,5,30,Thursday,1500.0
2024,5,31,Friday,1500.0
2024,6,3,Monday,1500.0
2024,6,4,Tuesday,1500.0
2024,6,5,Wednesday,-3930.0
2024,6,6,Thursday,1500.0
2024,6,7,Friday,1500.0
2024,6,10,Monday,1500.0
2024,6,11,Tuesday,1500.0
2024,6,12,Wednesday,1500.0
2024,6,13,Thursday,-3750.0
2024,6,14,Friday,1500.0
2024,6,18,Tuesday,-3195.0
2024,6,19,Wednesday,1500.0
2024,6,20,Thursday,-3750.0
2024,6,21,Friday,1500.0
2024,6,24,Monday,1500.0
2024,6,25,Tuesday,-3750.0
2024,6,26,Wednesday,1500.0
2024,6,27,Thursday,1500.0
2024,6,28,Friday,1500.0
2024,7,1,Monday,1500.0
2024,7,2,Tuesday,1500.0
2024,7,3,Wednesday,1500.0
2024,7,4,Thursday,1500.0
2024,7,5,Friday,1500.0
2024,7,8,Monday,-3750.0
2024,7,9,Tuesday,1500.0
2024,7,10,Wednesday,1500.0
2024,7,11,Thursday,1511.25
2024,7,12,Friday,1500.0
2024,7,15,Monday,-2883.75
2024,7,16,Tuesday,1500.0
2024,7,18,Thursday,1500.0
2024,7,19,Friday,1500.0
2024,7,22,Monday,1500.0
2024,7,23,Tuesday,1500.0
2024,7,24,Wednesday,1500.0
2024,7,25,Thursday,-3750.0
2024,7,26,Friday,1500.0
2024,7,29,Monday,1500.0
2024,7,30,Tuesday,1500.0
2024,8,2,Friday,1500.0
2024,8,5,Monday,1500.0
2024,8,6,Tuesday,-3750.0
2024,8,7,Wednesday,1500.0
2024,8,8,Thursday,1500.0
2024,8,9,Friday,1500.0
2024,8,12,Monday,1500.0
2024,8,13,Tuesday,-3750.0
2024,8,14,Wednesday,-3750.0
2024,8,16,Friday,1500.0
2024,8,19,Monday,1500.0
2024,8,20,Tuesday,1500.0
2024,8,21,Wednesday,-3750.0
2024,8,22,Thursday,-2538.75
2024,8,23,Friday,-1976.25
2024,8,26,Monday,1500.0
2024,8,27,Tuesday,1500.0
2024,8,28,Wednesday,1500.0
2024,8,29,Thursday,1500.0
2024,8,30,Friday,-3195.0
2024,9,2,Monday,1500.0
2024,9,3,Tuesday,-1856.25
2024,9,4,Wednesday,1500.0
2024,9,5,Thursday,1500.0
2024,9,6,Friday,1500.0
2024,9,9,Monday,-3270.0
2024,9,10,Tuesday,1500.0
2024,9,11,Wednesday,1500.0
2024,9,12,Thursday,1500.0
2024,9,13,Friday,1500.0
2024,9,16,Monday,-2940.0
2024,9,17,Tuesday,-2358.75
2024,9,18,Wednesday,1500.0
2024,9,19,Thursday,1500.0
2024,9,20,Friday,1500.0
2024,9,23,Monday,1500.0
2024,9,24,Tuesday,1500.0
2024,9,25,Wednesday,-330.0
2024,9,26,Thursday,1500.0
2024,9,27,Friday,-3330.0
2024,9,30,Monday,1500.0
2024,10,1,Tuesday,1500.0
2024,10,3,Thursday,1500.0
2024,10,4,Friday,-3750.0
2024,10,7,Monday,-1170.0
2024,10,8,Tuesday,-3127.5
2024,10,9,Wednesday,1500.0
2024,10,10,Thursday,-3750.0
2024,10,11,Friday,-2670.0
2024,10,14,Monday,1500.0
2024,10,15,Tuesday,1500.0
2024,10,16,Wednesday,1500.0
2024,10,17,Thursday,1500.0
2024,10,18,Friday,1500.0
2024,10,21,Monday,1500.0
2024,10,22,Tuesday,1500.0
2024,10,23,Wednesday,1500.0
2024,10,24,Thursday,-3750.0
2024,10,25,Friday,1500.0
2024,10,28,Monday,1500.0
2024,10,29,Tuesday,1500.0
2024,10,30,Wednesday,1500.0
2024,10,31,Thursday,1500.0
2024,11,4,Monday,1500.0
2024,11,5,Tuesday,1500.0
2024,11,6,Wednesday,1500.0
2024,11,7,Thursday,1500.0
2024,11,8,Friday,1500.0
2024,11,11,Monday,1500.0
2024,11,12,Tuesday,1500.0
2024,11,13,Wednesday,1500.0
2024,11,14,Thursday,1500.0
2024,11,18,Monday,1500.0
2024,11,19,Tuesday,1500.0
2024,11,21,Thursday,1500.0
2024,11,22,Friday,1500.0
2024,11,25,Monday,-3750.0
2024,11,26,Tuesday,1500.0
2024,11,27,Wednesday,1500.0
2024,11,28,Thursday,-3750.0
2024,11,29,Friday,1500.0
2024,12,2,Monday,1500.0
2024,12,3,Tuesday,1500.0
2024,12,4,Wednesday,1500.0
2024,12,5,Thursday,1500.0
2024,12,6,Friday,-1293.75
2024,12,9,Monday,-1676.25
2024,12,10,Tuesday,-2891.25
2024,12,11,Wednesday,1500.0
2024,12,12,Thursday,1500.0
2024,12,13,Friday,1500.0
2024,12,16,Monday,1500.0
2024,12,17,Tuesday,1500.0
2024,12,18,Wednesday,-3753.75
2024,12,19,Thursday,-3978.75
2024,12,20,Friday,1500.0
2024,12,23,Monday,-3750.0
2024,12,24,Tuesday,1500.0
2024,12,26,Thursday,1500.0
2024,12,27,Friday,1500.0
2024,12,30,Monday,1500.0
2024,12,31,Tuesday,-3750.0
2025,1,1,Wednesday,1500.0
2025,1,2,Thursday,1500.0
2025,1,3,Friday,1500.0
2025,1,6,Monday,1500.0
2025,1,7,Tuesday,-3750.0
2025,1,8,Wednesday,1500.0
2025,1,9,Thursday,-3750.0
2025,1,10,Friday,1500.0
2025,1,13,Monday,-3750.0
2025,1,14,Tuesday,-3907.5
2025,1,15,Wednesday,1500.0
2025,1,16,Thursday,1500.0
2025,1,17,Friday,1500.0
2025,1,20,Monday,1500.0
2025,1,21,Tuesday,1500.0
2025,1,22,Wednesday,-3783.75
2025,1,23,Thursday,1500.0
2025,1,24,Friday,1500.0
2025,1,27,Monday,1500.0
2025,1,28,Tuesday,1500.0
2025,1,29,Wednesday,1500.0
2025,1,30,Thursday,1500.0
2025,1,31,Friday,-1087.5
2025,2,3,Monday,-3172.5
2025,2,4,Tuesday,1500.0
2025,2,5,Wednesday,-3750.0
2025,2,6,Thursday,1500.0
2025,2,7,Friday,-3510.0
2025,2,10,Monday,1500.0
2025,2,11,Tuesday,-2741.25
2025,2,12,Wednesday,1500.0
2025,2,13,Thursday,1500.0
2025,2,14,Friday,1500.0
2025,2,17,Monday,1500.0
2025,2,18,Tuesday,-2985.0
2025,2,19,Wednesday,1500.0
2025,2,20,Thursday,-3750.0
2025,2,21,Friday,1500.0
2025,2,24,Monday,-2475.0
2025,2,25,Tuesday,1500.0
2025,2,27,Thursday,1500.0
